,0,1
0,espy,0.07277925312519073
1,inti,0.05431989207863808
2,quot,0.08615530282258987
3,cigs,0.050973083823919296
4,coup,0.03024294227361679
5,etui,0.13156768679618835
6,deco,0.04029440879821777
7,deul,0.06568805873394012
8,sier,0.03155921399593353
9,zarp,0.0696544498205185
10,yeed,0.03908204659819603
11,foid,0.055302612483501434
12,hogs,0.03271448239684105
13,webs,0.03978994861245155
14,kaes,0.048736222088336945
15,hova,0.04387839138507843
16,lash,0.03399334102869034
17,peba,0.03549628704786301
18,agib,0.1197516918182373
19,meow,0.060218892991542816
20,plat,0.03854560852050781
21,odin,0.0629916712641716
22,unce,0.049788493663072586
23,surd,0.04414787515997887
24,teed,0.028848757967352867
25,kebs,0.03845316171646118
26,logs,0.021175216883420944
27,caff,0.04796851426362991
28,flap,0.030245913192629814
29,reed,0.019655048847198486
30,hogh,0.05603713169693947
31,pard,0.03895755484700203
32,koda,0.039144184440374374
33,atap,0.045688774436712265
34,vins,0.03126979619264603
35,kayo,0.0545630007982254
36,spaz,0.10216666758060455
37,birk,0.022710667923092842
38,pesa,0.041574880480766296
39,gena,0.03625081107020378
40,yews,0.061405573040246964
41,hoys,0.020966172218322754
42,hose,0.04527002200484276
43,meou,0.1502898633480072
44,okeh,0.12869921326637268
45,tops,0.026783835142850876
46,bods,0.028840037062764168
47,unis,0.05987988039851189
48,vice,0.05068204924464226
49,lavs,0.02311060018837452
50,theb,0.09172705560922623
51,skal,0.06882533431053162
52,agog,0.03536427393555641
53,whan,0.03184258192777634
54,agla,0.024967340752482414
55,howk,0.02928554080426693
56,rows,0.023711763322353363
57,goos,0.021439112722873688
58,abel,0.049045298248529434
59,feal,0.031104858964681625
60,guan,0.023231467232108116
61,nurr,0.0520293265581131
62,axel,0.06522305309772491
63,bogy,0.033230412751436234
64,obia,0.07624281942844391
65,dips,0.03589261323213577
66,jets,0.04455123096704483
67,gees,0.018626321107149124
68,prau,0.05471573397517204
69,tian,0.021736791357398033
70,adam,0.04731855168938637
71,earl,0.05858409404754639
72,hoju,0.11618418246507645
73,rowy,0.045110877603292465
74,full,0.03133951872587204
75,abby,0.07527422904968262
76,seep,0.055344246327877045
77,redd,0.0864688903093338
78,nown,0.05926970764994621
79,lear,0.023821132257580757
80,diol,0.0380532443523407
81,aquo,0.08523241430521011
82,ores,0.028827209025621414
83,whiz,0.05932605639100075
84,than,0.012087542563676834
85,juts,0.03461762145161629
86,veep,0.054445937275886536
87,mian,0.023145576938986778
88,doss,0.027806099504232407
89,ghuz,0.08619092404842377
90,tube,0.03277206048369408
91,hopi,0.048960231244564056
92,coxy,0.06757532060146332
93,kuna,0.033155590295791626
94,mias,0.03612890467047691
95,keir,0.045917365700006485
96,pici,0.053808338940143585
97,levo,0.04042919725179672
98,kylo,0.05003079026937485
99,fehs,0.09208165854215622
100,bert,0.03290211781859398
101,ecos,0.07956323027610779
102,kvas,0.08977055549621582
103,hone,0.031615257263183594
104,dope,0.03943060338497162
105,sums,0.02439500018954277
106,sofa,0.05997597426176071
107,geos,0.04826609045267105
108,oast,0.09246067702770233
109,latu,0.045493289828300476
110,touk,0.027795521542429924
111,anda,0.021567992866039276
112,psst,0.12925103306770325
113,toed,0.0302130114287138
114,suni,0.04106603190302849
115,pyal,0.03575412184000015
116,sild,0.026194047182798386
117,bevy,0.044116854667663574
118,craw,0.025921937078237534
119,dole,0.02875811979174614
120,waur,0.03747677057981491
121,dilo,0.0373096726834774
122,geal,0.03068467788398266
123,faba,0.04633788764476776
124,knub,0.06337638199329376
125,pice,0.03616441786289215
126,fife,0.08387421071529388
127,work,0.04211999848484993
128,admi,0.06452358514070511
129,base,0.02951440028846264
130,elms,0.020053496584296227
131,tort,0.03154996782541275
132,host,0.03797127678990364
133,gowk,0.03376467898488045
134,khot,0.04714958369731903
135,rock,0.03835146129131317
136,lept,0.11680243909358978
137,tute,0.03604460507631302
138,fist,0.024740466848015785
139,barp,0.03187799081206322
140,tupi,0.06852995604276657
141,plan,0.047142308205366135
142,veda,0.05547962710261345
143,bote,0.029719877988100052
144,efik,0.14694377779960632
145,dude,0.04109601303935051
146,yarm,0.04415776580572128
147,khis,0.0471351183950901
148,tyde,0.03800683468580246
149,news,0.05528102442622185
150,soho,0.03269770368933678
151,wemb,0.05524510145187378
152,veer,0.04126032441854477
153,wudu,0.06678415089845657
154,naff,0.04244294390082359
155,lays,0.025964966043829918
156,atop,0.06007019802927971
157,pies,0.03740152344107628
158,yirm,0.06559707224369049
159,meer,0.025454232469201088
160,stog,0.03531704097986221
161,maar,0.0149832833558321
162,shor,0.04303417727351189
163,enid,0.07784296572208405
164,frau,0.06341585516929626
165,able,0.02945716120302677
166,boce,0.03068975731730461
